Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,0,0,0
Query 2,1,10,0
Query 3,1,10,1
Query 4,3,30,-5.75
Query 5,0,0,0
Query 6,1,10,1
Query 7,2,20,-44
Query 8,2,20,-1
Query 9,0,0,0
Query 10,0,0,0
Query 11,3,30,-1.25
Query 12,1,10,0
Query 13,0,0,0
Query 14,0,0,0
Query 15,2,20,1
Query 16,0,0,0
Query 17,3,30,-12.5
Query 18,0,0,0
Query 19,1,10,1
Query 20,2,20,-3
Query 21,1,10,1
Query 22,1,10,1
Query 23,2,20,-16
Query 24,1,10,0
Query 25,2,20,-15
Query 26,3,30,-5.5
Query 27,0,0,0
Query 28,1,10,0
Query 29,0,0,0
Query 30,1,10,1
Query 31,1,10,0
Query 32,0,0,0
Query 33,0,0,0
Query 34,3,30,-10.25
Query 35,1,10,0
Query 36,0,0,0
Query 37,0,0,0
Query 38,2,20,-63
Query 39,2,20,-8
Query 40,0,0,0
Query 41,4,40,-3.6
Query 42,1,10,0
Query 43,2,20,-44
Query 44,2,20,-49
Query 45,1,10,0
Query 46,2,20,-39
Query 47,1,10,1
Query 48,0,0,0
Query 49,4,40,-2.7
Query 50,2,20,-35
Query 51,1,10,1
Query 52,2,20,-4
Query 53,5,50,-2.05
Query 54,0,0,0
Query 55,0,0,0
Query 56,1,10,0
Query 57,1,10,0
Query 58,0,0,0
Query 59,0,0,0
Query 60,1,10,0
Query 61,1,10,0
Query 62,3,30,-6.25
Query 63,2,20,-4
Query 64,2,20,0
Query 65,1,10,1
Query 66,3,30,1
Query 67,1,10,0
Query 68,2,20,-4
Query 69,0,0,0
Query 70,1,10,1
Query 71,0,0,0
Query 72,3,30,-11.5
Query 73,2,20,-49
Query 74,0,0,0
Query 75,3,30,-11.75
Query 76,0,0,0
Query 77,2,20,-1
Query 78,3,30,-20.5
Query 79,3,30,-0.25
Query 80,2,20,-7
Query 81,1,10,1
Query 82,1,10,0
Query 83,1,10,0
Query 84,1,10,1
Query 85,1,10,0
Query 86,1,10,1
Query 87,3,30,-19.75
Query 88,1,10,0
Query 89,2,20,-1
Query 90,2,20,-4
Query 91,1,10,0
Query 92,0,0,0
Query 93,2,20,-1
Query 94,3,30,-1.25
Query 95,4,40,-1.1
Query 96,0,0,0
Query 97,1,10,0
Query 98,1,10,1
Query 99,4,40,-3.3
Query 100,2,20,-19
Averages,1.39,13.9,-5.1425
